Time,Temperature(deg F)
12:10:00 AM,75.08373
1:10:00 AM,74.78321
2:10:00 AM,74.48353
3:10:00 AM,74.48353
4:10:00 AM,74.18456
5:10:00 AM,74.18456
6:10:00 AM,73.886856
7:10:00 AM,73.886856
8:10:00 AM,73.886856
9:10:00 AM,73.886856
10:10:00 AM,73.58103
11:10:00 AM,73.58103
12:10:00 PM,73.58103
1:10:00 PM,73.280136
2:10:00 PM,73.280136
3:10:00 PM,73.280136
4:10:00 PM,73.280136
5:10:00 PM,73.280136
6:10:00 PM,72.96963
7:10:00 PM,72.96963
8:10:00 PM,72.66246
9:10:00 PM,72.66246
10:10:00 PM,72.35573
11:10:00 PM,72.35573
12:10:00 AM,72.35573
1:10:00 AM,72.35573
2:10:00 AM,72.04686
3:10:00 AM,72.04686
4:10:00 AM,72.04686
5:10:00 AM,71.74475
6:10:00 AM,71.74475
7:10:00 AM,71.74475
8:10:00 AM,71.74475
9:10:00 AM,71.44585
10:10:00 AM,71.44585
11:10:00 AM,71.44585
12:10:00 PM,71.44585
1:10:00 PM,71.14295
2:10:00 PM,71.14295
3:10:00 PM,71.14295
4:10:00 PM,71.14295
5:10:00 PM,71.14295
6:10:00 PM,70.84248
7:10:00 PM,70.84248
8:10:00 PM,70.84248
9:10:00 PM,70.84248
10:10:00 PM,70.54461
11:10:00 PM,70.54461
12:10:00 AM,70.54461
1:10:00 AM,70.54461
2:10:00 AM,70.54461
3:10:00 AM,70.54461
4:10:00 AM,70.54461
5:10:00 AM,70.54461
6:10:00 AM,70.54461
7:10:00 AM,70.54461
8:10:00 AM,70.54461
9:10:00 AM,70.54461
10:10:00 AM,70.84639
11:10:00 AM,71.14912
12:10:00 PM,71.14912
1:10:00 PM,71.14912
2:10:00 PM,71.14912
3:10:00 PM,71.14912
4:10:00 PM,71.14912
5:10:00 PM,71.14912
6:10:00 PM,71.14912
7:10:00 PM,71.44961
8:10:00 PM,72.06599
9:10:00 PM,72.37416
10:10:00 PM,72.67397
11:10:00 PM,72.98119
12:10:00 AM,73.28742
1:10:00 AM,73.28742
2:10:00 AM,73.28742
3:10:00 AM,73.58643
4:10:00 AM,73.58643
5:10:00 AM,73.58643
6:10:00 AM,73.58643
7:10:00 AM,73.58643
8:10:00 AM,73.58643
9:10:00 AM,73.58643
10:10:00 AM,73.58643
11:10:00 AM,73.58643
12:10:00 PM,73.58643
1:10:00 PM,73.58643
2:10:00 PM,73.58643
3:10:00 PM,73.28888
4:10:00 PM,73.28888
5:10:00 PM,72.99095
6:10:00 PM,72.99095
7:10:00 PM,72.690186
8:10:00 PM,72.690186
9:10:00 PM,72.690186
10:10:00 PM,72.690186
11:10:00 PM,72.690186
12:10:00 AM,72.38977
1:10:00 AM,72.38977
2:10:00 AM,72.38977
3:10:00 AM,72.38977
4:10:00 AM,72.091774
5:10:00 AM,72.091774
6:10:00 AM,72.091774
7:10:00 AM,72.091774
8:10:00 AM,72.091774
9:10:00 AM,72.091774
10:10:00 AM,72.091774
11:10:00 AM,72.091774
12:10:00 PM,72.091774
1:10:00 PM,72.091774
2:10:00 PM,72.091774
3:10:00 PM,72.091774
4:10:00 PM,72.39613
5:10:00 PM,72.39613
6:10:00 PM,72.09688
7:10:00 PM,72.09688
8:10:00 PM,72.09688
9:10:00 PM,72.09688
10:10:00 PM,72.39471
11:10:00 PM,72.701546
12:10:00 AM,72.701546
1:10:00 AM,72.701546
2:10:00 AM,72.701546
3:10:00 AM,72.40404
4:10:00 AM,72.40404
5:10:00 AM,72.40404
6:10:00 AM,72.40404
7:10:00 AM,72.40404
8:10:00 AM,72.40404
9:10:00 AM,72.40404
10:10:00 AM,72.09894
11:10:00 AM,72.09894
12:10:00 PM,72.09894
1:10:00 PM,72.09894
2:10:00 PM,72.09894
3:10:00 PM,72.09894
4:10:00 PM,72.09894
5:10:00 PM,72.09894
6:10:00 PM,72.09894
7:10:00 PM,71.79919
8:10:00 PM,71.79919
9:10:00 PM,71.79919
10:10:00 PM,71.79919